Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
21,376.601745605,-208.784988403,-2350.097167969,378.532043457,-188.503158569,-2348.180175781,395.166320801,-200.098129272,-2352.007080078,241.884429932,-221.423828125,-2322.279785156,242.797103882,-241.310791016,-2323.242675781,224.794326782,-232.208160400,-2322.098388672,376.726501465,-271.616485596,-2321.498291016,381.244781494,-252.037414551,-2319.386962891,396.280242920,-265.639678955,-2322.249755859,,,,,,,,,,283.584411621,-192.280609131,-2347.287353516,301.911804199,-201.121383667,-2358.118164063,332.936126709,-186.913391113,-2355.068847656,289.241149902,-228.557876587,-2330.400390625,300.755187988,-226.299758911,-2346.399169922,335.182373047,-219.121353149,-2330.908691406,281.727691650,-260.561431885,-2317.389892578,301.974487305,-254.563674927,-2331.523437500,334.596801758,-262.742614746,-2316.430664063,
22,376.625701904,-208.745391846,-2349.912841797,378.542266846,-188.454269409,-2348.091064453,395.184906006,-200.060165405,-2351.873779297,241.892349243,-221.271972656,-2322.059082031,242.800216675,-241.159744263,-2322.903808594,224.801589966,-232.047592163,-2321.808349609,376.651397705,-271.606353760,-2320.766357422,381.210052490,-252.015029907,-2318.809082031,396.223571777,-265.672821045,-2321.551513672,,,,,,,,,,283.599639893,-192.282226563,-2347.129150391,301.926177979,-201.162979126,-2357.928710938,332.944030762,-186.923278809,-2354.962646484,289.245635986,-228.463592529,-2330.151123047,300.755371094,-226.303558350,-2346.166748047,335.189086914,-219.041946411,-2330.729492188,281.674896240,-260.324371338,-2316.817871094,301.944091797,-254.481597900,-2330.984375000,334.538757324,-262.604431152,-2315.801757813,
23,376.659698486,-208.716613770,-2349.713867188,378.565155029,-188.415634155,-2347.983886719,395.214660645,-200.029113770,-2351.720214844,241.907089233,-221.137710571,-2321.844482422,242.812866211,-241.025970459,-2322.587158203,224.817733765,-231.906478882,-2321.560058594,376.575988770,-271.595520020,-2320.050048828,381.176208496,-252.000930786,-2318.250488281,396.159088135,-265.720947266,-2320.860595703,,,,,,,,,,283.625488281,-192.295059204,-2346.973632813,301.953643799,-201.213546753,-2357.739257813,332.964141846,-186.942550659,-2354.847412109,289.270294189,-228.376342773,-2329.842285156,300.799957275,-226.299499512,-2345.854492188,335.216094971,-218.965621948,-2330.412353516,281.619934082,-260.047851563,-2316.312988281,301.920776367,-254.373672485,-2330.502685547,334.476715088,-262.450012207,-2315.212646484,
24,376.671875000,-208.703491211,-2349.537353516,378.573516846,-188.391967773,-2347.884521484,395.227661133,-200.021118164,-2351.574951172,241.915603638,-221.014099121,-2321.625488281,242.824829102,-240.909988403,-2322.293457031,224.829818726,-231.787643433,-2321.321533203,376.509155273,-271.568542480,-2319.349853516,381.148986816,-251.974182129,-2317.723144531,396.102661133,-265.747283936,-2320.196533203,,,,,,,,,,283.635498047,-192.281311035,-2346.871337891,301.966064453,-201.238876343,-2357.600341797,332.974517822,-186.953155518,-2354.759521484,289.289916992,-228.277435303,-2329.540527344,300.838226318,-226.258132935,-2345.546386719,335.234893799,-218.861450195,-2330.090820313,281.573944092,-259.782409668,-2315.798339844,301.899047852,-254.280670166,-2330.020996094,334.424377441,-262.290405273,-2314.631103516,
25,376.691436768,-208.681564331,-2349.368652344,378.587982178,-188.364837646,-2347.806640625,395.241241455,-200.009017944,-2351.442382813,241.921310425,-220.875396729,-2321.411376953,242.825531006,-240.778610229,-2321.986328125,224.832641602,-231.649429321,-2321.061767578,376.436035156,-271.535888672,-2318.668701172,381.110748291,-251.937423706,-2317.195800781,396.041961670,-265.754058838,-2319.557373047,,,,,,,,,,283.650238037,-192.260208130,-2346.787597656,301.983184814,-201.263687134,-2357.474121094,332.989593506,-186.961715698,-2354.693603516,289.295471191,-228.184967041,-2329.280029297,300.848266602,-226.241928101,-2345.292236328,335.241851807,-218.777969360,-2329.862304688,281.521789551,-259.559295654,-2315.229736328,301.859008789,-254.204727173,-2329.491455078,334.367645264,-262.148498535,-2314.031982422,
26,376.715148926,-208.654327393,-2349.199218750,378.604003906,-188.332443237,-2347.721923828,395.263305664,-199.986282349,-2351.320556641,241.934371948,-220.730911255,-2321.212890625,242.827285767,-240.631072998,-2321.682861328,224.838562012,-231.488693237,-2320.800048828,376.362304688,-271.512237549,-2317.986083984,381.073760986,-251.909194946,-2316.659667969,395.980163574,-265.770660400,-2318.904785156,,,,,,,,,,283.670196533,-192.256332397,-2346.629394531,301.999786377,-201.297332764,-2357.289794922,333.002838135,-186.973205566,-2354.587158203,289.301269531,-228.106872559,-2329.059814453,300.849395752,-226.255401611,-2345.086181641,335.253051758,-218.730606079,-2329.708251953,281.468627930,-259.335021973,-2314.706542969,301.825592041,-254.126770020,-2328.994140625,334.308807373,-262.011322021,-2313.451416016,
27,376.726684570,-208.636581421,-2349.020263672,378.607879639,-188.305343628,-2347.619140625,395.274749756,-199.968582153,-2351.178222656,241.928482056,-220.585922241,-2321.016845703,242.818069458,-240.485412598,-2321.386962891,224.832717896,-231.334075928,-2320.565185547,376.281005859,-271.480957031,-2317.315917969,381.031555176,-251.879348755,-2316.137939453,395.910003662,-265.787994385,-2318.244628906,,,,,,,,,,283.677093506,-192.263198853,-2346.493408203,302.008056641,-201.337051392,-2357.123535156,333.006164551,-186.991073608,-2354.480712891,289.301727295,-228.011138916,-2328.786376953,300.864074707,-226.242492676,-2344.811767578,335.256530762,-218.650131226,-2329.442138672,281.406738281,-259.078796387,-2314.306396484,301.800384521,-254.027908325,-2328.598144531,334.238739014,-261.856079102,-2312.933593750,
28,376.748352051,-208.626998901,-2348.822998047,378.629608154,-188.287551880,-2347.522949219,395.293670654,-199.964508057,-2351.013183594,241.934204102,-220.438293457,-2320.805419922,242.819000244,-240.342117310,-2321.086181641,224.831298828,-231.183975220,-2320.312988281,376.208679199,-271.423858643,-2316.655761719,380.991790771,-251.824981689,-2315.626220703,395.843475342,-265.775024414,-2317.602539063,,,,,,,,,,283.695648193,-192.249252319,-2346.429931641,302.033477783,-201.374298096,-2357.004394531,333.028656006,-187.012054443,-2354.416015625,289.307342529,-227.908599854,-2328.520996094,300.876953125,-226.213714600,-2344.549072266,335.264160156,-218.558959961,-2329.198486328,281.350799561,-258.827423096,-2313.872314453,301.772705078,-253.926559448,-2328.176025391,334.175781250,-261.689636230,-2312.406250000,
29,376.762878418,-208.607223511,-2348.641113281,378.637939453,-188.263595581,-2347.426025391,395.311126709,-199.955734253,-2350.864501953,241.935012817,-220.278839111,-2320.598632813,242.814453125,-240.185592651,-2320.766601563,224.829452515,-231.019882202,-2320.038330078,376.139099121,-271.359100342,-2315.986328125,380.956787109,-251.761413574,-2315.100585938,395.786590576,-265.746246338,-2316.962646484,,,,,,,,,,283.707672119,-192.232940674,-2346.338134766,302.049011230,-201.400207520,-2356.869873047,333.041809082,-187.023315430,-2354.335205078,289.302917480,-227.803665161,-2328.290527344,300.866485596,-226.202239990,-2344.332763672,335.261352539,-218.467407227,-2329.039794922,281.302062988,-258.589477539,-2313.358642578,301.740936279,-253.828491211,-2327.685302734,334.121429443,-261.525329590,-2311.837158203,
30,376.779541016,-208.577255249,-2348.432617188,378.648498535,-188.229751587,-2347.331054688,395.324035645,-199.929656982,-2350.713623047,241.929855347,-220.109878540,-2320.390869141,242.796936035,-240.013549805,-2320.451416016,224.815002441,-230.837814331,-2319.760742188,376.058288574,-271.291748047,-2315.339111328,380.909149170,-251.695556641,-2314.580810547,395.719451904,-265.715087891,-2316.335937500,,,,,,,,,,283.719543457,-192.231872559,-2346.170410156,302.059265137,-201.449020386,-2356.661132813,333.047149658,-187.044937134,-2354.222167969,289.286712646,-227.700103760,-2328.073486328,300.840362549,-226.191894531,-2344.132080078,335.249603271,-218.392745972,-2328.904052734,281.241729736,-258.352844238,-2312.881103516,301.700622559,-253.720687866,-2327.221191406,334.054992676,-261.362548828,-2311.293212891,
