Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
21,378.026306152,-206.561019897,-2347.625000000,379.371826172,-186.156204224,-2346.823974609,396.343383789,-197.469619751,-2350.007324219,243.029281616,-219.121810913,-2317.850585938,243.935546875,-239.019027710,-2317.131591797,225.969604492,-229.832290649,-2316.323974609,378.131042480,-268.646331787,-2315.001220703,382.575073242,-248.943481445,-2315.239990234,397.617706299,-262.721588135,-2316.977050781,,,,,,,,,,284.572509766,-192.585144043,-2345.738769531,303.162384033,-201.481323242,-2356.065185547,333.764739990,-186.249038696,-2353.796386719,290.179473877,-226.978713989,-2326.504882813,301.290374756,-226.110168457,-2342.918945313,336.084655762,-217.672973633,-2328.958740234,283.211730957,-257.545471191,-2309.468505859,303.016235352,-253.107864380,-2324.757568359,336.100708008,-259.412261963,-2309.771728516,
22,378.048614502,-206.529235840,-2347.484619141,379.388153076,-186.123153687,-2346.752685547,396.362579346,-197.436447144,-2349.893798828,243.039642334,-218.959884644,-2317.720214844,243.936447144,-238.844863892,-2316.855712891,225.972457886,-229.650253296,-2316.121826172,378.064605713,-268.587890625,-2314.345703125,382.542785645,-248.894836426,-2314.724853516,397.562347412,-262.714782715,-2316.334716797,,,,,,,,,,284.589569092,-192.586837769,-2345.665039063,303.185333252,-201.509902954,-2355.957275391,333.780792236,-186.257064819,-2353.733886719,290.188629150,-226.894653320,-2326.298828125,301.306121826,-226.150299072,-2342.714843750,336.098297119,-217.624481201,-2328.803222656,283.155487061,-257.273925781,-2309.046875000,302.992065430,-252.986984253,-2324.337402344,336.041381836,-259.238861084,-2309.252197266,
23,378.067687988,-206.501220703,-2347.361083984,379.398437500,-186.093856812,-2346.688964844,396.377563477,-197.410308838,-2349.797851563,243.038787842,-218.798583984,-2317.581054688,243.929046631,-238.681335449,-2316.602294922,225.967453003,-229.476181030,-2315.945068359,378.000549316,-268.517211914,-2313.745117188,382.505889893,-248.835067749,-2314.252685547,397.508331299,-262.691040039,-2315.747558594,,,,,,,,,,284.602905273,-192.589431763,-2345.577636719,303.201507568,-201.535720825,-2355.844970703,333.791351318,-186.264968872,-2353.667724609,290.197479248,-226.796325684,-2326.050781250,301.337341309,-226.148284912,-2342.455566406,336.113128662,-217.553237915,-2328.545654297,283.100128174,-257.023925781,-2308.652832031,302.963897705,-252.872131348,-2323.945312500,335.983154297,-259.070892334,-2308.772705078,
24,378.089569092,-206.477127075,-2347.253906250,379.415924072,-186.068054199,-2346.635498047,396.394226074,-197.389205933,-2349.717529297,243.041824341,-218.640304565,-2317.441894531,243.919982910,-238.522460938,-2316.352294922,225.959884644,-229.307098389,-2315.763427734,377.940734863,-268.452484131,-2313.215332031,382.471435547,-248.778854370,-2313.843994141,397.459716797,-262.665649414,-2315.248046875,,,,,,,,,,284.621185303,-192.579742432,-2345.489257813,303.219665527,-201.549163818,-2355.736328125,333.806823730,-186.266586304,-2353.604980469,290.203063965,-226.706878662,-2325.820556641,301.359375000,-226.153686523,-2342.217529297,336.124908447,-217.496139526,-2328.320800781,283.054656982,-256.803039551,-2308.225341797,302.928680420,-252.772705078,-2323.536865234,335.934997559,-258.920196533,-2308.315429688,
25,378.097808838,-206.460052490,-2347.175048828,379.421417236,-186.049362183,-2346.592041016,396.403442383,-197.374908447,-2349.659667969,243.035720825,-218.513565063,-2317.335693359,243.904418945,-238.389389038,-2316.146484375,225.952636719,-229.163940430,-2315.617431641,377.888122559,-268.403198242,-2312.786621094,382.442413330,-248.738418579,-2313.509277344,397.417510986,-262.648681641,-2314.835693359,,,,,,,,,,284.629058838,-192.570098877,-2345.409179688,303.225799561,-201.555084229,-2355.645996094,333.811828613,-186.265457153,-2353.549072266,290.201354980,-226.641250610,-2325.638183594,301.370330811,-226.174484253,-2342.029541016,336.129028320,-217.462615967,-2328.149414063,283.013397217,-256.621398926,-2307.914062500,302.901611328,-252.689086914,-2323.232910156,335.891326904,-258.799194336,-2307.960449219,
26,378.105285645,-206.448272705,-2347.116699219,379.424346924,-186.036636353,-2346.556640625,396.412719727,-197.365936279,-2349.609863281,243.031707764,-218.421081543,-2317.269042969,243.889099121,-238.291671753,-2316.014160156,225.941711426,-229.057434082,-2315.517089844,377.846710205,-268.361877441,-2312.475830078,382.415191650,-248.705490112,-2313.271972656,397.378173828,-262.629089355,-2314.528808594,,,,,,,,,,284.634857178,-192.567687988,-2345.378906250,303.233917236,-201.562286377,-2355.603027344,333.817932129,-186.266754150,-2353.519775391,290.193115234,-226.599227905,-2325.540527344,301.363800049,-226.192153931,-2341.931884766,336.125579834,-217.451858521,-2328.077636719,282.974334717,-256.495544434,-2307.739746094,302.879699707,-252.637786865,-2323.054931641,335.850738525,-258.710327148,-2307.727294922,
27,378.111175537,-206.447174072,-2347.070800781,379.430541992,-186.035491943,-2346.532470703,396.418823242,-197.365921021,-2349.573730469,243.029235840,-218.362533569,-2317.226562500,243.885360718,-238.230300903,-2315.938232422,225.937866211,-228.993621826,-2315.466552734,377.828247070,-268.331390381,-2312.287597656,382.401885986,-248.678298950,-2313.126464844,397.359649658,-262.609252930,-2314.347900391,,,,,,,,,,284.640716553,-192.568710327,-2345.347167969,303.240112305,-201.573287964,-2355.561767578,333.823486328,-186.274246216,-2353.494873047,290.195068359,-226.557128906,-2325.458007813,301.374938965,-226.178131104,-2341.843994141,336.129608154,-217.417236328,-2327.984863281,282.957000732,-256.426757813,-2307.603515625,302.867675781,-252.609176636,-2322.922119141,335.832763672,-258.657043457,-2307.571777344,
28,378.111358643,-206.439849854,-2347.058349609,379.428955078,-186.027770996,-2346.531494141,396.418762207,-197.359786987,-2349.561767578,243.026794434,-218.338500977,-2317.216308594,243.881332397,-238.203887939,-2315.907470703,225.936004639,-228.967102051,-2315.454589844,377.817993164,-268.323791504,-2312.198242188,382.396179199,-248.671813965,-2313.047363281,397.353973389,-262.605743408,-2314.262939453,,,,,,,,,,284.639434814,-192.564926147,-2345.366943359,303.241882324,-201.574615479,-2355.571533203,333.824005127,-186.272933960,-2353.505615234,290.197174072,-226.542068481,-2325.414794922,301.385620117,-226.179931641,-2341.795166016,336.133239746,-217.405822754,-2327.926757813,282.950744629,-256.400329590,-2307.514892578,302.861145020,-252.593856812,-2322.836425781,335.826110840,-258.639709473,-2307.485107422,
29,378.120025635,-206.431365967,-2347.060302734,379.434844971,-186.017562866,-2346.524169922,396.426757813,-197.348632813,-2349.568115234,243.034973145,-218.335571289,-2317.228271484,243.884338379,-238.201156616,-2315.912597656,225.939559937,-228.961929321,-2315.466552734,377.816375732,-268.329528809,-2312.172119141,382.397521973,-248.679473877,-2313.027832031,397.350433350,-262.616027832,-2314.235351563,,,,,,,,,,284.647674561,-192.565582275,-2345.319091797,303.246276855,-201.568664551,-2355.536376953,333.827911377,-186.265075684,-2353.477539063,290.204437256,-226.550979614,-2325.413818359,301.396514893,-226.196258545,-2341.791992188,336.142700195,-217.423858643,-2327.918945313,282.949157715,-256.387237549,-2307.509033203,302.862854004,-252.590240479,-2322.828857422,335.824096680,-258.636291504,-2307.469726563,
30,378.120971680,-206.430892944,-2347.085937500,379.434631348,-186.016876221,-2346.542236328,396.431121826,-197.345733643,-2349.585449219,243.038009644,-218.340026855,-2317.258300781,243.889144897,-238.206314087,-2315.937255859,225.942245483,-228.965621948,-2315.489257813,377.818237305,-268.341400146,-2312.174316406,382.400421143,-248.689926147,-2313.031494141,397.353424072,-262.629272461,-2314.230957031,,,,,,,,,,284.648345947,-192.571929932,-2345.368652344,303.250701904,-201.570129395,-2355.583496094,333.830627441,-186.265167236,-2353.509765625,290.205627441,-226.557540894,-2325.453369141,301.393554688,-226.207321167,-2341.834472656,336.143157959,-217.430694580,-2327.972412109,282.949798584,-256.392089844,-2307.550048828,302.869628906,-252.598800659,-2322.862548828,335.824584961,-258.644256592,-2307.489746094,
