Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
21,378.240661621,-206.229125977,-2350.942138672,379.474639893,-185.920104980,-2348.703369141,396.487426758,-196.878814697,-2352.788085938,244.313919067,-224.591934204,-2321.575195313,245.904846191,-244.421676636,-2322.857666016,227.641479492,-235.970352173,-2321.031738281,381.669982910,-268.268463135,-2327.002197266,385.089996338,-248.516540527,-2324.415771484,400.801422119,-261.074401855,-2328.318603516,,,,,,,,,,284.722808838,-192.992630005,-2347.481933594,303.293151855,-201.020339966,-2358.529785156,333.823333740,-185.800201416,-2355.378662109,291.626129150,-229.924987793,-2331.239257813,302.552764893,-227.042068481,-2347.546630859,337.169799805,-218.854904175,-2333.008789063,286.435455322,-263.207580566,-2318.819091797,305.687316895,-255.540725708,-2333.524658203,339.334716797,-262.160583496,-2319.999267578,
22,378.253906250,-206.215011597,-2350.775390625,379.485351563,-185.896240234,-2348.610595703,396.503479004,-196.869720459,-2352.648437500,244.312545776,-224.410980225,-2321.357910156,245.893417358,-244.252334595,-2322.512939453,227.631881714,-235.784637451,-2320.739746094,381.612091064,-268.250976563,-2326.311035156,385.061370850,-248.488418579,-2323.907470703,400.749145508,-261.109649658,-2327.670898438,,,,,,,,,,284.734527588,-192.972198486,-2347.403320313,303.310058594,-201.039093018,-2358.413818359,333.837799072,-185.805191040,-2355.305908203,291.619537354,-229.824996948,-2330.991699219,302.545654297,-227.050750732,-2347.318115234,337.166839600,-218.782196045,-2332.836425781,286.372589111,-262.941406250,-2318.295410156,305.656738281,-255.449310303,-2333.048583984,339.275085449,-262.003051758,-2319.419189453,
23,378.264221191,-206.207122803,-2350.640869141,379.495269775,-185.877822876,-2348.554443359,396.513671875,-196.867645264,-2352.552734375,244.314178467,-224.224182129,-2321.148681641,245.882049561,-244.069503784,-2322.161132813,227.626968384,-235.588317871,-2320.447021484,381.555450439,-268.227233887,-2325.615234375,385.035278320,-248.449722290,-2323.389892578,400.705993652,-261.123901367,-2327.037353516,,,,,,,,,,284.745056152,-192.953170776,-2347.305419922,303.319183350,-201.061935425,-2358.287597656,333.846923828,-185.815216064,-2355.243164063,291.615509033,-229.724807739,-2330.748779297,302.540740967,-227.071914673,-2347.096191406,337.166900635,-218.713439941,-2332.677978516,286.324768066,-262.710327148,-2317.659179688,305.621063232,-255.378799438,-2332.477050781,339.228668213,-261.857177734,-2318.785400391,
24,378.277954102,-206.191268921,-2350.504394531,379.505004883,-185.858505249,-2348.495605469,396.522125244,-196.858718872,-2352.459716797,244.311828613,-224.038558960,-2320.941162109,245.866668701,-243.891555786,-2321.819091797,227.617507935,-235.391387939,-2320.176025391,381.485778809,-268.230377197,-2324.921142578,385.003326416,-248.439544678,-2322.851074219,400.652374268,-261.170227051,-2326.377929688,,,,,,,,,,284.756591797,-192.944366455,-2347.176269531,303.327209473,-201.091171265,-2358.136230469,333.853515625,-185.827484131,-2355.163330078,291.616241455,-229.630111694,-2330.468017578,302.555297852,-227.092834473,-2346.824462891,337.175109863,-218.656570435,-2332.436523438,286.258087158,-262.471130371,-2317.119628906,305.584838867,-255.294830322,-2331.973632813,339.164733887,-261.725006104,-2318.191406250,
25,378.291839600,-206.174270630,-2350.340820313,379.515472412,-185.834533691,-2348.408203125,396.535644531,-196.842864990,-2352.328857422,244.309234619,-223.869445801,-2320.741943359,245.859344482,-243.728775024,-2321.514648438,227.611129761,-235.208709717,-2319.928466797,381.417968750,-268.232238770,-2324.238281250,384.972381592,-248.436172485,-2322.333496094,400.594787598,-261.231506348,-2325.727294922,,,,,,,,,,284.767913818,-192.939102173,-2347.073974609,303.342010498,-201.121917725,-2358.001220703,333.863983154,-185.839309692,-2355.081298828,291.619354248,-229.531341553,-2330.207519531,302.570556641,-227.084915161,-2346.569580078,337.184326172,-218.588134766,-2332.202880859,286.188232422,-262.197723389,-2316.625976563,305.552398682,-255.192489624,-2331.512939453,339.097930908,-261.578125000,-2317.626708984,
26,378.301086426,-206.165802002,-2350.209960938,379.521453857,-185.819427490,-2348.346435547,396.543701172,-196.835891724,-2352.206298828,244.304138184,-223.704559326,-2320.539794922,245.851074219,-243.565841675,-2321.198486328,227.604522705,-235.032897949,-2319.677978516,381.355255127,-268.209960938,-2323.565917969,384.941680908,-248.405548096,-2321.834472656,400.545196533,-261.260864258,-2325.106689453,,,,,,,,,,284.770996094,-192.934478760,-2347.108642578,303.360382080,-201.151824951,-2357.983642578,333.876098633,-185.854080200,-2355.077636719,291.622741699,-229.429489136,-2329.928222656,302.590026855,-227.078369141,-2346.293457031,337.192199707,-218.508407593,-2331.942138672,286.131500244,-261.936614990,-2316.059570313,305.516357422,-255.098815918,-2330.997558594,339.042755127,-261.422088623,-2317.036865234,
27,378.310821533,-206.154159546,-2350.079833984,379.529937744,-185.800445557,-2348.283203125,396.553253174,-196.829452515,-2352.117675781,244.306045532,-223.513427734,-2320.337890625,245.836181641,-243.378417969,-2320.863769531,227.597595215,-234.830368042,-2319.425537109,381.288208008,-268.184234619,-2322.869873047,384.903930664,-248.367233276,-2321.311767578,400.490722656,-261.273864746,-2324.460693359,,,,,,,,,,284.781860352,-192.919982910,-2346.966552734,303.365509033,-201.171264648,-2357.825683594,333.881652832,-185.861648560,-2354.987548828,291.632202148,-229.328475952,-2329.621337891,302.623992920,-227.091094971,-2345.986328125,337.210937500,-218.447463989,-2331.642333984,286.070373535,-261.706634521,-2315.476074219,305.473693848,-255.029190063,-2330.462402344,338.982879639,-261.276397705,-2316.426269531,
28,378.324035645,-206.142745972,-2349.937500000,379.538879395,-185.781417847,-2348.214843750,396.563720703,-196.823165894,-2352.017333984,244.305358887,-223.316818237,-2320.125732422,245.821243286,-243.187866211,-2320.539306641,227.587875366,-234.612747192,-2319.143798828,381.214324951,-268.171539307,-2322.161376953,384.867126465,-248.345886230,-2320.764892578,400.433135986,-261.308532715,-2323.781982422,,,,,,,,,,284.793579102,-192.913604736,-2346.829833984,303.373809814,-201.200958252,-2357.667480469,333.888549805,-185.875839233,-2354.898437500,291.624633789,-229.225570679,-2329.390869141,302.613159180,-227.090774536,-2345.771728516,337.212066650,-218.395446777,-2331.488037109,285.999206543,-261.450286865,-2314.962402344,305.436950684,-254.936019897,-2329.975830078,338.913757324,-261.127929688,-2315.838378906,
29,378.334228516,-206.125717163,-2349.764892578,379.544433594,-185.762313843,-2348.135986328,396.573760986,-196.811996460,-2351.887451172,244.297607422,-223.134674072,-2319.921142578,245.806915283,-243.006774902,-2320.218750000,227.572845459,-234.416152954,-2318.874755859,381.139709473,-268.152008057,-2321.465576172,384.829895020,-248.322097778,-2320.225097656,400.373779297,-261.345397949,-2323.110595703,,,,,,,,,,284.801147461,-192.912475586,-2346.720214844,303.384063721,-201.243804932,-2357.519287109,333.894226074,-185.897232056,-2354.819824219,291.614959717,-229.115219116,-2329.146972656,302.605865479,-227.080398560,-2345.538818359,337.206939697,-218.315795898,-2331.302978516,285.925994873,-261.169219971,-2314.478759766,305.402130127,-254.819656372,-2329.512939453,338.842468262,-260.966827393,-2315.270019531,
30,378.350982666,-206.113510132,-2349.609130859,379.559020996,-185.740951538,-2348.052978516,396.589416504,-196.802291870,-2351.755615234,244.298995972,-222.952148438,-2319.737304688,245.798095703,-242.821914673,-2319.895019531,227.565933228,-234.224395752,-2318.619140625,381.076477051,-268.102172852,-2320.775878906,384.792724609,-248.272155762,-2319.701904297,400.321166992,-261.347534180,-2322.464355469,,,,,,,,,,284.814727783,-192.899963379,-2346.659423828,303.404235840,-201.267654419,-2357.418945313,333.910980225,-185.907363892,-2354.759277344,291.615417480,-229.007812500,-2328.900146484,302.613983154,-227.090225220,-2345.301025391,337.210968018,-218.234756470,-2331.111328125,285.866607666,-260.907745361,-2313.923339844,305.364624023,-254.718887329,-2328.996093750,338.783935547,-260.798522949,-2314.675048828,
